Row,Name,Size,Edges,MAX,MAX-COUNT,TREE-LB,MINOR-LB,FPT-LB,LP-LB,SAT-LB,HEURISTIC-LB,HEURISTIC-UB,SAT_UB,LP-UB,FPT-UB,Max-Deg-UB
1,clique-10,10,45,9,10,2,4,5,5,5,5,5,5,5,5,5
2,elevator-1.gf,10,20,7,3,2,1,3,3,3,3,3,3,3,3,3
3,tpp-1.gf,14,52,11,3,2,3,6,5,5,5,5,5,5,5,6
4,clique-15,15,105,14,15,3,7,8,7,8,7,8,8,8,8,8
5,clique-20,20,190,19,20,3,9,10,10,10,10,10,10,10,10,10
6,tpp-2.gf,22,94,19,2,3,3,6,6,7,6,7,7,7,7,7
7,clique-25,25,300,24,25,3,12,13,12,13,12,13,13,13,13,13
8,tpp-3.gf,30,136,27,2,3,3,7,7,7,7,7,7,7,7,7
9,btree-5,31,30,3,14,3,0,4,4,4,4,4,4,4,4,6
10,elevator-2.gf,36,88,17,4,2,2,6,6,6,6,6,6,6,6,6
11,tpp-4.gf,38,178,35,2,3,3,8,7,8,7,8,8,8,8,8
12,satellite.gf,42,210,41,2,3,5,10,10,10,10,10,10,10,10,11
13,Grid-7,49,84,4,25,5,2,11,11,11,11,11,11,11,11,17
14,ccycle5x2,60,245,10,20,5,4,10,10,10,10,10,10,10,10,10
15,btree-6,63,62,3,30,4,0,7,6,7,6,7,7,7,7,8
16,Grid-8,64,112,4,36,5,2,13,13,13,13,13,13,13,13,23
17,elevator-3.gf,78,204,27,6,3,3,9,9,9,9,9,9,9,9,9
18,Grid-9,81,144,4,49,6,2,13,16,16,16,16,16,16,19,30
19,tpp-5.gf,84,538,77,2,4,4,13,13,13,13,13,13,13,13,13
20,ccycle6x2,84,420,12,24,6,5,12,12,12,12,12,12,12,12,12
21,Grid-10,100,180,4,64,7,2,13,18,18,18,18,18,18,24,37
22,ccycle7x2,112,665,14,28,7,6,14,14,14,14,14,14,14,14,14
23,Grid-11,121,220,4,81,8,2,14,17,21,16,21,21,21,28,45
24,btree-7,127,126,3,62,6,0,8,8,8,8,8,8,8,8,10
25,elevator-4.gf,136,368,37,8,3,4,12,12,12,12,12,12,12,12,12
26,Grid-12,144,264,4,100,8,2,14,17,22,18,24,22,24,50,54
27,ccycle8x2,144,992,16,32,8,7,16,16,16,16,16,16,16,16,16
28,Grid-13,169,312,4,121,9,2,15,18,23,18,28,30,28,39,63
29,ccycle9x2,180,1413,18,36,9,8,18,10,18,17,18,18,18,18,18
30,wood.gf,185,7181,121,36,8,35,56,61,39,61,62,62,62,92,92
31,Grid-14,196,364,4,144,10,2,15,15,21,20,32,35,32,45,73
32,barman.gf,200,6596,117,13,8,32,47,65,45,65,65,70,65,65,65
33,elevator-5.gf,210,580,47,10,4,5,15,15,15,15,15,15,15,15,15
34,ccycle10x2,220,1940,20,40,10,9,19,14,20,19,20,20,20,-,20
35,Grid-15,225,420,4,169,10,2,16,14,26,23,34,40,35,61,83
36,btree-8,255,254,3,126,9,0,15,8,15,14,15,15,15,15,15
37,ns1766074.mps,282,666,34,9,7,6,20,25,19,25,27,60,27,27,27
38,noswot.mps,310,735,25,1,9,3,20,18,16,40,42,48,43,51,61
39,Grid-20,400,760,4,324,14,2,17,11,24,36,53,78,59,110,144
40,mik.250-1-100.1.mps,402,5351,101,51,10,25,51,50,29,50,51,51,51,51,51
41,Split-20,420,590,39,19,4,9,20,20,20,20,20,20,20,20,20
42,enlight13.mps,507,962,6,121,11,3,18,5,18,37,66,102,71,113,134
43,btree-9,511,510,3,254,13,0,16,2,16,16,17,16,18,16,26
44,timtab1.mps,568,829,52,1,8,4,17,10,18,26,33,-,33,32,34
45,enlight14.mps,588,1120,6,144,12,3,18,5,-,41,72,-,77,127,156
46,m100n500k4r1.mps,600,2000,32,1,9,15,37,3,-,14,87,-,91,87,90
47,Split-25,650,925,49,21,5,12,25,0,-,-,-,-,25,25,25
48,glass4.mps,718,1815,90,1,8,4,23,-,-,-,-,-,-,23,23
49,cov1075.mps,757,14280,119,120,10,43,62,-,-,-,-,-,-,-,120
50,ran16x16.mps,800,1024,16,32,8,8,-,-,-,-,-,-,-,-,32
51,Split-30,930,1335,59,26,5,14,-,-,-,-,-,-,-,-,30
52,floor.gf,951,9715,498,4,7,23,-,-,-,-,-,-,-,-,49
53,btree-10,1023,1022,3,510,18,0,-,-,-,-,-,-,-,-,32
54,newdano.mps,1081,2184,56,1,15,8,-,-,-,-,-,-,-,-,107
55,dfn-gwin-UUM.mps,1096,2632,20,45,34,12,-,-,-,-,-,-,-,-,82
56,danoint.mps,1185,3232,64,1,15,12,-,-,-,-,-,-,-,-,174
57,parking.gf,1275,113253,1274,71,20,56,-,-,-,-,-,-,-,-,71
58,pigeon-10.mps,1421,8180,78,20,17,11,-,-,-,-,-,-,-,-,120
59,gmu-35-40.mps,1629,4843,425,1,15,7,-,-,-,-,-,-,-,-,148
60,qiu.mps,2032,3432,198,4,22,8,-,-,-,-,-,-,-,-,52
61,csched010.mps,2109,6376,58,2,13,17,-,-,-,-,-,-,-,-,215
62,neos-1396125.mps,2655,5511,31,3,26,14,-,-,-,-,-,-,-,-,330
63,neos-849702.mps,2778,19308,32,144,21,26,-,-,-,-,-,-,-,-,789
64,pg5_34.mps,2825,7700,100,25,14,12,-,-,-,-,-,-,-,-,28
65,eilB101.mps,2918,24120,759,1,10,28,-,-,-,-,-,-,-,-,96
66,reblock67.mps,3193,7495,134,9,21,13,-,-,-,-,-,-,-,-,404
67,sp98ir.mps,3211,71704,884,1,46,53,-,-,-,-,-,-,-,-,248
68,binkar10_1.mps,3324,4496,20,1,26,5,-,-,-,-,-,-,-,-,114
69,neos-916792.mps,3383,134442,496,263,26,133,-,-,-,-,-,-,-,-,275
70,roll3000.mps,3461,29386,491,1,24,38,-,-,-,-,-,-,-,-,588
