Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,LB,Solution,Finished,Duration
1,btree-9,511,510,3,254,13,13,14,--,true,64
2,btree-9,511,510,3,254,14,14,15,--,true,159
3,btree-9,511,510,3,254,15,15,16,17,true,4008
4,btree-9,511,510,3,254,16,16,16,16,true,6387
5,btree-9,511,510,3,254,17,17,16,16,true,32250
6,btree-9,511,510,3,254,18,18,16,16,true,51912
7,btree-9,511,510,3,254,19,19,16,16,true,90680
8,btree-9,511,510,3,254,20,20,14,18,false,3010083
9,btree-9,511,510,3,254,21,21,13,--,false,3010083
10,btree-9,511,510,3,254,22,22,13,--,false,3010081
11,btree-9,511,510,3,254,23,23,14,--,false,3010082
12,btree-9,511,510,3,254,24,24,15,--,false,3010083
13,btree-9,511,510,3,254,25,25,16,--,false,3010081
14,btree-9,511,510,3,254,26,26,16,--,false,3010133
15,btree-9,511,510,3,254,144,144,2,2,true,8
